group,names,scores,logfoldchanges,pvals,pvals_adj,regulation
9,H2-Ab1,13.791,3.44,0.0,0.0,up
9,Il2rb,-3.23,-4.112,0.001,0.026,down
9,Agpat3,-5.944,-4.165,0.0,0.0,down
9,Rgs3,-3.191,-4.304,0.001,0.03,down
9,Pglyrp1,-3.127,-4.332,0.002,0.035,down
9,Cbr2,-3.161,-4.413,0.002,0.032,down
9,Bhlhe41,-3.354,-4.527,0.001,0.019,down
9,Gdpd1,-2.981,-4.76,0.003,0.049,down
9,Abhd8,-4.427,-4.792,0.0,0.001,down
9,Prkcq,-3.043,-4.864,0.002,0.042,down
9,Traf4,-3.798,-5.078,0.0,0.005,down
10,Fscn1,16.953,9.29,0.0,0.0,up
10,Ccr7,19.388,8.745,0.0,0.0,up
10,Tmem150c,5.844,8.743,0.0,0.0,up
10,Gm13546,12.899,8.562,0.0,0.0,up
10,Ccl22,15.096,8.358,0.0,0.0,up
10,Apol7c,3.741,8.314,0.0,0.002,up
10,Nudt17,11.531,8.155,0.0,0.0,up
10,Il4i1,16.614,7.936,0.0,0.0,up
10,Gm10851,4.944,7.822,0.0,0.0,up
10,Cxcr5,3.899,7.82,0.0,0.001,up
10,Abca1,-4.66,-5.584,0.0,0.0,down
10,Cd93,-5.688,-5.612,0.0,0.0,down
10,Gas2l3,-4.178,-5.631,0.0,0.0,down
10,Igf1,-4.316,-5.638,0.0,0.0,down
10,Rab11fip5,-3.623,-5.712,0.0,0.003,down
10,Gas6,-3.697,-5.797,0.0,0.002,down
10,Rab7b,-7.862,-5.953,0.0,0.0,down
10,Coprs,-4.717,-5.97,0.0,0.0,down
10,Mrc1,-7.335,-6.052,0.0,0.0,down
10,Mafb,-10.154,-6.1,0.0,0.0,down
11,Smoc2,4.203,9.986,0.0,0.0,up
11,Grb10,9.409,9.978,0.0,0.0,up
11,Tbx18,3.005,9.97,0.003,0.022,up
11,Foxs1,3.002,9.966,0.003,0.022,up
11,Aspn,7.004,9.964,0.0,0.0,up
11,Dpt,6.799,9.941,0.0,0.0,up
11,Srpx2,5.204,9.927,0.0,0.0,up
11,Prkcdbp,14.815,9.912,0.0,0.0,up
11,Ldb2,4.404,9.876,0.0,0.0,up
11,Lmcd1,4.004,9.819,0.0,0.001,up
11,Itgb7,-3.197,-5.228,0.001,0.012,down
11,Igsf6,-4.154,-5.264,0.0,0.0,down
11,Ly86,-8.194,-5.277,0.0,0.0,down
11,Tbxas1,-4.386,-5.329,0.0,0.0,down
11,Arhgap9,-6.302,-5.358,0.0,0.0,down
11,Lrmp,-3.709,-5.408,0.0,0.002,down
11,Tmem171,-2.712,-5.598,0.007,0.047,down
11,Cyp4f18,-3.486,-5.632,0.0,0.005,down
11,Slc7a8,-3.174,-5.689,0.002,0.013,down
11,Vav1,-4.653,-6.287,0.0,0.0,down
