names,scores,logfoldchanges,pvals,pvals_adj,leiden,n_case,n_control,cell_type
Hbb-bs,-5.22,-28.266,0.0,0.0,3,122,1036,MoDC
Gpx3,-5.277,-3.402,0.0,0.0,3,122,1036,MoDC
Cxcl16,-5.29,-1.216,0.0,0.0,3,122,1036,MoDC
Cd38,-5.372,-1.212,0.0,0.0,3,122,1036,MoDC
Cd300a,-5.496,-1.212,0.0,0.0,3,122,1036,MoDC
Tmem8,-5.626,-1.642,0.0,0.0,3,122,1036,MoDC
Abhd12,-5.71,-1.094,0.0,0.0,3,122,1036,MoDC
Ier3,-5.73,-1.074,0.0,0.0,3,122,1036,MoDC
Socs3,-5.947,-1.281,0.0,0.0,3,122,1036,MoDC
Ypel3,-6.025,-1.176,0.0,0.0,3,122,1036,MoDC
Lrg1,-6.085,-2.763,0.0,0.0,3,122,1036,MoDC
Hmox1,-7.066,-1.305,0.0,0.0,3,122,1036,MoDC
Glul,-7.538,-1.161,0.0,0.0,3,122,1036,MoDC
Cd63,-8.266,-1.372,0.0,0.0,3,122,1036,MoDC
Pla2g7,-8.363,-1.703,0.0,0.0,3,122,1036,MoDC
Saa3,-8.483,-3.343,0.0,0.0,3,122,1036,MoDC
Trf,-8.637,-1.353,0.0,0.0,3,122,1036,MoDC
Hgsnat,-8.725,-2.598,0.0,0.0,3,122,1036,MoDC
Ninj1,-9.312,-1.103,0.0,0.0,3,122,1036,MoDC
Sepp1,-10.858,-1.146,0.0,0.0,3,122,1036,MoDC
Apoe,-11.387,-1.79,0.0,0.0,3,122,1036,MoDC
Bst2,10.54,1.09,0.0,0.0,4,338,765,MDSC
Ifi27l2a,9.431,1.332,0.0,0.0,4,338,765,MDSC
H2-Ab1,8.337,1.205,0.0,0.0,4,338,765,MDSC
Cd74,8.224,1.313,0.0,0.0,4,338,765,MDSC
Ly6c2,8.117,2.156,0.0,0.0,4,338,765,MDSC
H2-Eb1,7.695,1.332,0.0,0.0,4,338,765,MDSC
Isg15,7.606,1.194,0.0,0.0,4,338,765,MDSC
Ms4a4c,6.672,1.256,0.0,0.0,4,338,765,MDSC
H2-Aa,6.456,1.09,0.0,0.0,4,338,765,MDSC
Scimp,5.517,1.273,0.0,0.0,4,338,765,MDSC
Xaf1,5.421,1.062,0.0,0.0,4,338,765,MDSC
Oas1a,4.253,1.153,0.0,0.003,4,338,765,MDSC
Ifit3,3.933,1.212,0.0,0.009,4,338,765,MDSC
Gpr171,3.459,2.688,0.001,0.04,4,338,765,MDSC
Napsa,-3.437,-1.08,0.001,0.042,4,338,765,MDSC
Map4k4,-3.67,-1.086,0.0,0.021,4,338,765,MDSC
Ms4a8a,-4.047,-1.175,0.0,0.006,4,338,765,MDSC
Klf9,-4.198,-1.497,0.0,0.003,4,338,765,MDSC
Impdh1,-4.283,-1.021,0.0,0.002,4,338,765,MDSC
S100a8,-4.475,-2.869,0.0,0.001,4,338,765,MDSC
AA467197,-4.713,-1.065,0.0,0.0,4,338,765,MDSC
Cd38,-4.817,-1.502,0.0,0.0,4,338,765,MDSC
Cxcl3,-4.939,-1.902,0.0,0.0,4,338,765,MDSC
Gsr,-5.396,-1.012,0.0,0.0,4,338,765,MDSC
Cd37,-5.402,-1.273,0.0,0.0,4,338,765,MDSC
Hgsnat,-5.581,-1.482,0.0,0.0,4,338,765,MDSC
Hbb-bs,-6.029,-27.966,0.0,0.0,4,338,765,MDSC
Saa3,-8.088,-3.882,0.0,0.0,4,338,765,MDSC
Mt2,-8.497,-1.985,0.0,0.0,4,338,765,MDSC
Apoe,-8.763,-1.392,0.0,0.0,4,338,765,MDSC
Arg1,-8.817,-1.555,0.0,0.0,4,338,765,MDSC
Irf7,6.409,1.69,0.0,0.0,6,164,153,pDC
Ifi27l2a,4.748,1.05,0.0,0.005,6,164,153,pDC
Apoe,-6.05,-1.942,0.0,0.0,6,164,153,pDC
Rpl23a,5.611,1.567,0.0,0.0,7,85,73,NK
Rpl9,4.659,1.03,0.0,0.018,8,56,91,CD103_cDC
Zbp1,4.471,1.307,0.0,0.033,8,56,91,CD103_cDC
Plac8,4.302,1.694,0.0,0.048,8,56,91,CD103_cDC
Rps28,-4.268,-1.054,0.0,0.048,8,56,91,CD103_cDC
Apoe,-6.566,-2.776,0.0,0.0,8,56,91,CD103_cDC
Apoe,-5.007,-2.673,0.0,0.01,9,58,76,MoDC
