names,scores,logfoldchanges,pvals,pvals_adj,leiden,n_case,n_control
Klf9,-4.198,-1.497,0.0,0.003,4,338,765
Impdh1,-4.283,-1.021,0.0,0.002,4,338,765
S100a8,-4.475,-2.869,0.0,0.001,4,338,765
AA467197,-4.713,-1.065,0.0,0.0,4,338,765
Cd38,-4.817,-1.502,0.0,0.0,4,338,765
Cxcl3,-4.939,-1.902,0.0,0.0,4,338,765
Gsr,-5.396,-1.012,0.0,0.0,4,338,765
Cd37,-5.402,-1.273,0.0,0.0,4,338,765
Hgsnat,-5.581,-1.482,0.0,0.0,4,338,765
Hbb-bs,-6.029,-27.966,0.0,0.0,4,338,765
Saa3,-8.088,-3.882,0.0,0.0,4,338,765
Mt2,-8.497,-1.985,0.0,0.0,4,338,765
Apoe,-8.763,-1.392,0.0,0.0,4,338,765
Arg1,-8.817,-1.555,0.0,0.0,4,338,765
Irf7,6.409,1.69,0.0,0.0,6,164,153
Ifi27l2a,4.748,1.05,0.0,0.005,6,164,153
Apoe,-6.05,-1.942,0.0,0.0,6,164,153
Rpl23a,5.611,1.567,0.0,0.0,7,85,73
Rpl9,4.659,1.03,0.0,0.018,8,56,91
Zbp1,4.471,1.307,0.0,0.033,8,56,91
Plac8,4.302,1.694,0.0,0.048,8,56,91
Rps28,-4.268,-1.054,0.0,0.048,8,56,91
Apoe,-6.566,-2.776,0.0,0.0,8,56,91
Apoe,-5.007,-2.673,0.0,0.01,9,58,76
